Class,ndc407,ndc408,ndc409,ndc410,ndc411,ndc412,ndc413,ndc414,ndc415,ndc416,ndc417,ndc418,ndc419,ndc420,ndc421,ndc422,ndc423,ndc424,ndc425,ndc426,ndc427,ndc428,ndc429,ndc430,ndc431,ndc432,ndc433,ndc434,ndc435,ndc436,ndc437,ndc438,ndc439,ndc440,ndc441,ndc442,ndc443,ndc444,ndc445,ndc446,ndc447,ndc448,ndc449,ndc450,ndc451,ndc452,ndc453,ndc454,ndc455,ndc456,ndc457,ndc458,ndc459,ndc460,ndc461,ndc462,ndc463,ndc464,ndc465,ndc466,ndc467,ndc468,ndc469,ndc471,ndc470,ndc472,ndc473,ndc474,ndc475
Actinobacteria,0.0049143995117720725,0.004677636344820449,0.00928642380281366,0.01668984700973574,0.007477522922168474,0.0027670635586114377,0.004821174982397934,0.005729247679784304,0.0,0.0013117722856181002,0.0016939243580326492,0.0002688533405027557,0.0001534713296372322,9.379983116030397e-05,0.0016148479889759712,0.004123424759080802,0.0010980966325036606,0.003442589405009811,0.034148719687976906,0.0005326231691078563,0.008256775378961877,0.0005565573588013983,0.0,0.003785134743552595,0.08668598060209098,0.00043535045711797995,0.05817824722761132,0.017753695015308706,0.0027273238486194683,0.014225678135604648,0.0003351655717924656,0.02884223399918467,0.011018790745238401,0.012312014543050738,0.00015205078496217735,0.023272234303951197,0.08782495997560416,0.00045998160073597056,0.004768441586590564,0.0,0.012182066521466278,0.01624653275215655,0.0,0.0,0.0011024292124400432,0.0010227610830110087,0.0029686753565822694,0.0,0.01050281408437602,0.0,0.00024602263408233545,0.0031039834454216243,0.0,0.0038655691482104683,0.0,0.0015027768703038224,0.03949209903559889,0.10396496767851293,0.012056087013497578,0.0005770974745115285,0.03239699706130802,0.00429289831963693,0.005492851768246802,0.019512966476913342,0.009738483422693948,0.005772931366260428,0.002746365105008078,0.0036125585672373774,0.002723257281392183
Alphaproteobacteria,0.0,0.0,0.0,0.0,0.0,0.002431661915143385,0.0006802152821700054,0.001127702597604603,0.0,0.0,0.0,0.0,0.0025994206457306207,0.008512334677797585,0.004650762208250798,0.014941623424759087,9.982696659124186e-05,0.0,0.0,0.004296493564136707,0.0,0.0029497540016474107,0.0,0.0,0.005000629802242099,0.0,0.0,0.0,0.0002530506663667548,0.0005393622041935411,0.0,6.369751324908274e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008748938683598509,0.0004267381961166824,0.0,0.0,0.0,0.0,0.0009895584521940897,0.0,0.0,0.0,0.00016401508938822365,0.0,0.0,0.0,0.0,0.0,0.0009160538436092524,0.0,0.0,0.00045343372997334376,0.0,0.0,0.0,0.0,0.0,0.0,0.0016385875836602817,0.0003722030038971844,0.00016605227325562093
Bacilli,0.0,0.015730104522405048,0.018203238698052647,0.004111102020780495,0.0020869806039385554,0.0,0.008305786603339015,0.005729247679784305,0.08971962616822429,0.024389677629058654,0.06723230748474718,0.0028997753154225794,0.009160319987722296,0.010060031891942598,0.01793557833089312,0.004262416604892514,0.035372021828830036,0.024736088207325736,0.008224520942852294,0.006870838881491346,0.0392857142857143,0.014247868385315795,0.0732936326156665,0.010667197913648221,0.0009321073183020536,0.391380060949064,0.0,0.00035243067027908103,0.002952257774278806,0.009528732274085891,0.003807480895562409,0.0014268242967794536,0.007030550939537262,0.015066380212637032,0.09020412817881171,0.006538255147287259,0.023036263373230663,0.0021465808034345293,0.004334946896900514,0.007844756399669693,0.0011812912990512756,0.013503215777120737,0.04125790189645516,0.007749960133949929,0.016555779049976786,0.026907914311216904,0.0031051661775745574,0.006466222852777474,0.005972370807944557,0.016135851183765502,0.028292602919468578,0.5006035523366098,0.07843437631649497,0.004820592114238937,0.0026143063744576704,0.00764456060111075,0.0005089188020051403,0.030206440465906047,0.00041497400952256153,0.0032564786061721955,0.011005223019357297,0.0,0.011662904439428141,0.0014231499051233392,0.006455848561111719,0.0007764761486783031,0.00018462958689129935,0.0025835267329333976,0.0010295240941848498
Bacteroidia,0.0193685157228664,0.09808548069957569,0.05814410127284074,0.13875480651231284,0.22182328912099514,0.14807982559114544,0.1272241249686742,0.1298024576139367,0.004391397365161581,0.002194026212228504,0.00475198249111814,0.34572619207650784,0.3147984729602703,0.12287777881999819,0.3426061493411421,0.36283821349147516,0.19316518035405297,0.44965513920820455,0.1443318636594878,0.2834087882822903,0.2788011024345429,0.44435539526703627,0.0,0.6762532599246597,0.13877062602342868,0.0,0.22236593135493768,0.348796228991828,0.14786593938030707,0.09773692608490459,0.46346695267462146,0.21753974724826733,0.3822830116323663,0.39147799261830013,0.0,0.0011155986104442626,0.05783842850245227,0.4455688439129102,0.4386605014088578,0.0,0.2848019491306435,0.2764349071844423,0.06366327918700487,0.35799712964439495,0.3297617205632058,0.5103205891103838,0.052241861734798334,0.12408599803557786,0.42722917344992795,0.21667136414881627,0.012465146793504998,0.0034488704949129164,0.39783999080847154,0.3510846332257038,0.09361441762153742,0.4206795164978765,0.16303213822234663,0.09699425064791921,0.018411741580395758,0.17036741872543906,0.09391916812411512,0.02543031195061115,0.1144469525959368,0.16461100569259957,0.07331217857533645,0.3996826575740188,0.18938379875375033,0.3860839865131147,0.5979542359934907
Betaproteobacteria,0.0013811711046156807,0.0017178929938942355,0.0008085194853195972,0.005849627750961301,0.006527996201893111,0.0070434345128291154,0.0037948852584221357,0.003914553844558507,0.03627969823218106,0.01254890124560324,0.008304726498673342,0.000460891440861867,0.0028775874306981044,0.007222586999343405,0.008935492205667042,0.019597850259451453,0.017602821775588983,0.007908326010809251,0.005278107512294382,0.00561029738126942,0.005489205328433626,0.02400988445869232,0.0,0.04929730512894815,0.0017130620985010715,0.0,0.00388014658331537,0.008304147668450846,0.006860484732609796,0.0046519990111692925,0.013755195066362788,0.0029937831227068888,0.006979419659976992,0.003415413430287005,0.0,0.00036715903634874464,0.008259002312520646,0.013646120821833793,0.02532331478939383,0.039760528488852184,0.0109269445162243,0.0027128356753131954,0.0,0.0064423536915962365,0.058061271855175595,0.025829366260041658,0.0019108714938920355,0.05178435010367783,0.009991162379645568,0.008490698985343855,0.005699524356240771,0.0,0.0,0.010095957069443813,0.0027811769941039045,0.007513884351519113,0.0018321076872185051,0.01209449194197027,0.00233695889573232,0.005654181208606998,0.003670390596185649,0.0014037096092781075,0.003536493604213695,0.006704617330803287,0.0011306853412116568,0.006076769859221502,0.008516039695361183,0.008582563383982134,0.007804456843014183
Chloroplast,0.0,0.0,0.0003234077941278389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000328263486158223,0.0,0.0,0.0,0.0
Clostridia,0.6230687694729067,0.8595674221256339,0.8889556238305341,0.7593062259674385,0.7349930269131484,0.6919335904745932,0.8414740384500641,0.8410976305283351,0.0,0.33532614373773845,0.08964307664632958,0.4289555047721469,0.6259903696740651,0.5840680986774222,0.36611833606063215,0.17888250555967392,0.012644749101557301,0.4640634592005006,0.7677632694590473,0.48044385264092326,0.5782843362425355,0.445869231282976,0.38866767680327,0.15368733700376705,0.5515808036276608,0.0003957731428345272,0.3526382601614332,0.2957333861979339,0.6527863690041051,0.5084162977279367,0.36306475398847005,0.29563289849164304,0.24133963952447904,0.48796342202390786,0.0006842285323297981,0.34247465190499055,0.6731595131000483,0.4852805887764489,0.2961491221732533,0.4182906688687036,0.3793421684078407,0.6297131709696102,0.012338961350724173,0.4498804018497848,0.26614962091907807,0.010227610830110088,0.49474510339179695,0.5828604168940303,0.2038978557142192,0.02790304396843292,0.725028702640643,0.143645456113123,0.0012255371299452337,0.36631952339806273,0.8392479697407944,0.35132309702711534,0.42497264561439224,0.6463105841699188,0.589394137946097,0.6200294044903679,0.3585858585858587,0.5865189364514779,0.8500000000000001,0.7316255534471853,0.882882882882883,0.562945207791769,0.6100392337872145,0.5720103341069317,0.35966922387167466
Coriobacteriia,0.0015738926540969384,0.002007658077201697,0.006421954769109943,0.001104475169761924,7.912722668961347e-05,0.0012577561630051992,0.0005608792677542151,0.001983201119925336,0.0,0.0,0.002038705422056994,0.00017283429032320012,0.0007577646900838339,0.0013600975518244073,0.002756007234518991,0.0034053002223869548,0.0,0.0004574069838824224,0.0016109886382906552,0.0019529516200621397,0.00133210840606339,0.0016362786348761108,0.0,0.0003622138510576645,0.007948104295251295,0.0,0.0016526550262269172,0.00019824225203198307,0.004920429623798009,0.0037980088545295186,0.00030835232604906835,0.0015669588259274356,0.0,0.0009364843276593401,0.0,0.002513627248849098,0.0,0.0013799448022079116,0.00016256050863376926,0.0,0.001919598360958323,0.0007010698936202639,0.0,0.0016265348429277625,0.00013538604363298777,3.719131210949123e-05,0.003821742987784071,0.00016370184437411326,0.00024187171496348672,0.0,0.0030342791536821373,0.0,0.0,0.0008640683978352812,0.0,0.0,0.005140079900251917,0.0,0.006989035949853666,0.0034763252631289684,0.002492534294654436,0.001553620344249556,0.0026335590669676447,0.0003478810879190385,0.007586533902323375,0.0,0.00046157396722824835,0.0002627315321627184,0.0004981568197668627
Deltaproteobacteria,0.002922943500465743,0.0,0.0002310055672341706,0.001104475169761924,0.000593454200172101,0.002096260271675332,0.0,0.00011665888940737272,0.0,0.0,0.0,0.012232826992875385,0.011989947627908766,0.01969796454366383,0.010141245370769103,0.013968680504077098,0.007986157327299348,0.0025759235408115365,0.003497541122604712,0.004651575676875279,0.010771704180064312,0.008114606291324386,0.02191761513795412,0.011355404230657784,0.004169290842675402,0.0,0.003496922229407679,0.0025551223595233373,0.007928920879491649,0.006315032474099378,0.008164633328864463,0.004675397472482673,0.011913588137543143,0.004324354101250483,0.096438210362261,0.018668624848193864,0.00524764300780158,0.005366452008586323,0.00874214290874937,0.01358381502890173,0.005611133670493559,0.005059895753954949,0.0,0.01170467230106841,0.02013383877456289,0.011343350193394825,0.005425510134443459,0.00828058496125723,0.002735010930740965,0.012824126268320182,0.0038543546006232555,0.0,0.05786833135460151,0.006230387921233344,0.01540772054733563,0.0052270499836654695,0.007023079467670935,0.00857934403765379,0.0018346219368365877,0.00812058589134079,0.007697707344350453,0.00554669719394359,0.0,0.0014547754585705246,0.00025531604478972895,0.000472637655717228,0.0035771982460189255,0.0,0.0
Epsilonproteobacteria,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003603197838081297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008466031847643433,0.0,0.0,0.0001301695923832193,0.0,0.0,0.0,0.0,0.0,0.020003448870494916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Erysipelotrichia,0.0022484180772813405,0.003208113422332609,0.005012820808981503,0.001922604925141127,0.003145307260912136,0.01718933422773772,0.00349654522238266,0.004160833722196294,0.0,0.053271885121251875,0.07660135813758263,0.013961169896107385,0.0016018570030886111,0.0014538973829847114,0.025299285160623557,0.015219607116382513,0.0035604951417542922,0.028768491881026037,0.0011446498219433603,0.011735463826009766,0.005695911805236565,0.0283399007101672,0.053560731526833216,0.032599246595189806,0.019259352563295133,0.0,0.027951426313142205,0.02878918037842243,0.005032896586627678,0.01656291435377666,0.036895026142914615,0.006204137790460661,0.005061996676466829,0.018178813419269545,0.0,0.08345807326234926,0.1014332545551574,0.004753143207605029,0.012155913590058524,0.022213047068538393,0.009081176861456682,0.0032005364708751175,0.001968472433384012,0.02309041620156275,0.008355252978492959,0.0006508479619160966,0.00330990240906299,0.10019917057732183,0.003014093678775758,0.0,0.012342135476463829,0.033109156751164,0.0,0.03710946382282049,0.027811769941039042,0.010715452466514213,0.05341102827043947,0.07566504810986327,0.01921984886209759,0.0060526532743411495,0.06014205660848769,0.002439456505444478,0.0020316027088036117,0.0011701454775458568,0.001641317430791115,0.0016542317950102978,0.017124394184168015,0.004422647458072426,0.006974195476736079
Flavobacteriia,0.0015738926540969384,0.0,0.0,0.0,0.0,0.0034378668455475447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.379983116030397e-05,0.0,0.0,0.0,0.0,0.0012082414787179913,0.00012427873945849982,0.0010794671566375748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000701069893620264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0030254711966965033,0.0,0.0,0.0,0.0,0.0026771290099238403,0.0,0.0
Fusobacteriia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6342303794617723,0.06042278536851514,0.6540796594162707,0.022045973921225967,0.006349876263740482,0.0011724978895037996,0.002196193265007321,0.015845070422535218,0.19932117662717955,0.0004212959062074943,0.0,0.003763870395028851,3.445107946715665e-05,0.002304147465437789,0.0,0.0,0.0,0.0,0.0,0.00019824225203198307,0.0,0.0,0.0,0.0,0.011888022497763008,0.0,0.0,0.0008049255796876325,0.0,0.0,0.00554511957228524,0.0,0.0,0.0,0.10383291990077619,0.0,0.00042549899427510437,0.0,0.015935303350849653,0.0,0.005683985301641938,0.0,0.0,0.0,0.14633679292252305,0.0,0.0017799532762264988,0.0,0.0,0.0,0.0,0.003496935887218666,0.00016656553759027254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gammaproteobacteria,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011777952933228239,0.0,0.0,0.0,0.0,0.0,0.0013995349237791751,0.0,0.008285638227073075,0.0,0.0,0.0,0.0,0.00013357376611233557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0043973723019171485,0.0,0.003272401891857344,0.0,0.024822290645075455,0.010040387493998363,0.0,0.0,0.0,0.0,0.0,0.0,0.0005601344322637434,0.0,0.0,0.0,0.0,0.0,9.302758267826412e-05,0.0,0.0,0.0,0.0029872467542415076,0.0,0.0,0.007056517477948384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lentisphaeria,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001059860946243852,0.0,0.0012861736334405147,0.0,0.0,0.0008512025499855116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00012192519889048069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005769674590353105,0.0,0.0
Melainabacteria,0.0,0.0,0.0,0.0,0.0,0.0,0.00025060563027315993,0.0006092186446829464,0.0,0.0,0.0,0.0,0.0,0.0,0.0006674705021100682,0.00020848776871756864,0.0,0.0,0.0,0.0,0.0,0.0016474097820521388,0.0,0.0,5.0384179367678565e-05,0.0,0.0,0.0,0.0,8.98937006989235e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010250943086763979,0.0,0.0,0.0,0.0,0.0,5.089188020051403e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Methanobacteria,0.006167089583400248,0.0,0.0,0.009306225967438434,0.0009297449136029583,0.0005869528760690929,0.0,0.0,0.0,0.0,0.0,0.0006721333512568893,0.0,0.0,0.0,0.0,0.0,0.0,0.0033279633712056957,0.0,0.008474965548920535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00014747285158868488,0.0,5.1131279560271e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00524278355229067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0020786358511837655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006841380814151553,0.0,0.007590132827324476,0.0,0.0008777556463319947,0.0005308100623124857,0.0,0.0
Mollicutes,0.1755050910609321,0.0006002276725654559,0.0029568712605973838,0.009040333796940194,0.005182833348169682,0.08494046620828444,0.0001312696158573695,0.00023331777881474544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006861104758236336,0.00027556384602340155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0032811200755107086,0.0,0.0,0.0,0.0,0.0,0.0,0.005844832405783843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00014876524843796492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001697995174118979,0.0008299480190451231,0.0,0.0007198010731579636,0.2202733826675927,0.0009405568096313018,0.009203036053130928,0.0047051099682678624,0.003612302082981671,0.1247172859450727,0.00035030870955029116,0.0013284181860449675
Negativicutes,0.12880223556997394,0.01355686639759909,0.008524105430940896,0.02920723226703754,0.010701957409770221,0.02129800436022137,0.009260474718665338,0.00532742261627002,0.22324062605562436,0.013210591690561041,0.0956092881020552,0.03362587137288038,0.013716500086327629,0.0057217897007785425,0.02056239772629404,0.02256300963676798,0.15163716225209636,0.015106467494011584,0.027810751229438678,0.015197514425210832,0.060473128158015636,0.02564616309356843,0.058212058212058194,0.038358446827006676,0.031616072553218307,0.6077888154509835,0.1484994371392302,0.13304257803035308,0.06874543102963505,0.018315841517405666,0.0263172006971444,0.04686863024867508,0.02845455707529081,0.03462237646669972,0.20849963887938572,0.03129324709803147,0.034992757490279774,0.025758969641214352,0.03612455747417095,0.027043765483071833,0.02672671564103511,0.04194226841832535,0.215219652716652,0.054791899218625414,0.023731239362525133,0.03944138649211545,0.05074046270388315,0.01486958419731529,0.0917810130703754,0.01920095828635851,0.030096768902739036,0.29418865321607174,0.3153077247137222,0.013779617081267905,0.016742685504505504,0.01718392682130023,0.030764141581210727,0.016413953349816796,0.012056087013497576,0.011576300530380064,0.008250942879918144,0.1009580658789536,0.008577878103837474,0.030234029095509166,0.010650326439800123,0.012018500388238082,0.016847449803831068,0.02171913999211805,0.021852479160439715
Opitutae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003179582838731556,0.00014203284509542834,0.0003559944878272853,0.0,0.0,0.00023543900318748196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010154627279021465,0.0,0.0
Synergistia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005382826629919905,0.0004401408450704227,0.0,0.0,0.0,0.0,0.0,0.0001892295019924754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00793311908668,0.0,0.0,0.0,0.0,0.0,0.0,0.002109222129043734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008072924424320059,0.00386581050976281,0.0,0.0021356081426752807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Verrucomicrobiae,0.032473581087591935,0.0008485977439718514,0.0011319272794474361,0.023603043442690007,0.006458759878539699,0.016937782995136683,0.0,0.00016850728469953836,0.0,0.497324216709425,4.497144313361016e-05,0.1389779732298888,0.010004412300727076,0.23766532220242015,0.19457841701834475,0.3437036693847295,0.3692266737654732,0.002178701686387328,0.0,0.18126941855304043,0.00037896187413872314,0.0,0.4043482857042178,0.022547812228339615,0.15227358609396655,0.0,0.18133697396469547,0.16427674618383664,0.09992689647416073,0.30860507449940444,0.07934039415471245,0.39418569099062367,0.2907068899399208,0.03170274885693825,0.5791994526171741,0.47945321546586833,0.0002541231480775584,0.015639374425022997,0.16803337909110616,0.47126341866226246,0.2594780169072317,0.003993050263663242,0.5526926462350964,0.08671663211608995,0.2755879622466346,0.3739400476048796,0.36480584180713843,0.11128997053366801,0.23885762128471097,0.6966953213077791,0.17775135312448737,0.0018968787722021038,0.0,0.20583018782118329,0.0,0.1711532179026462,0.27285681569505593,0.0,0.33259074826366136,0.16693918491851936,0.418817146732341,0.04171606906796395,0.0006772009029345373,0.026122707147375072,0.001313053944632892,0.006110529691772733,0.019963074082621744,0.0,0.0
